job_title,job_description,company_name
Senior Software Engineer (.NET),"Job Description Design and develop a rich software application that meets the user requirements. Actively participate in daily standups and project meetings with teams on the technical requirements of application development. Participate actively in supporting system testing & user acceptance testing while deploying the application on production setup Support through GOLIVE activities to ensure any reported issues are resolved. Provide application production support by coordinating with the infra team for feature deployment. Conduct source code review and penetration test remediation on the developed application modules. Provide technical suggestions for issues raised during implementation that lead to improved features.  Collaborate with team members through the project and post-implementation cycle. Participate in technical discussions with customers, and internal & vendor teams to provide development inputs to deliverables. What we are looking for Strong technical skills in .NET Core / C# / SQL Server are essential.  Experienced in developing applications using .NET Framework, C# Proficient in using TypeScript frameworks Angular. Proficient in HTML, CSS/SCSS, Bootstrap, Figma Proficient in database design and DB development using SQL Server. Working knowledge of collaboration tools like GitHub/Bitbucket, Jira/Slack Good Analytical skills coupled with good interpersonal & communication skills. Proven experience in driving and leading projects while collaborating across multi-functional teams to conduct requirement gathering, perform impact analysis, and craft project plans. Experience using Microsoft Azure development platform and services such as Logic Apps, App Services, and SQL database. .NET Core version 3 and above with an understanding of Restful API, OAUTH, 2-way SSL, micro-services. ",UEMS Solutions Pte Ltd
Senior Sales Engineer (MNC I Industrial Machinery I Automation I Software),"MNC Basic $ 4,500 - $ 6,000 + AWS + Variable Bonus Excellent Welfare and Benefits + Career progression Working location : East Working days : Monday to Friday  Job Responsibilities: Establish action plan for sales promotions for all products Drive sales growth through maximization of resources and execution of market segment  Secure active customer relation data management within the assigned area Establish / maintain campaign results report to track progress and impact of marketing initiatives and take appropriate actions in case of deviation Achieve sales target set by management in assigned area Assist ASM in supporting channel partners technically Provide market and competitor intelligence on monthly base Monitor customer, competitor activity & gather general market information and feedback to headquarter Create and maintain strong customer relationship with top notch customer service Ensure Code of Conduct compliances Other ad-hoc duties as assigned  Requirements: Degree in Mechanical / Electrical Engineering More than 5 years sales experience in the multi-national industrial environment, preferably with wire processing machines, and more than 3 years in sales management Good basic understanding in industrial machinery, automation and software Possess own vehicle is an added value  Candidates are encouraged to apply this position via Apply Now button with the following information in the resume Work experiences and job responsibilities Current and Expected salary Reason for leaving Date of availability Education background  We regret that only shortlisted candidates will be contacted.  THIEN CHING MEI (R2198032) EA Recruitment Pte Ltd EA License No: 21C0492  ",EA RECRUITMENT PTE LTD
Senior Software Engineer (Automation & SCADA System | C | C++),"Well Established Company Excellent Welfare and Benefits + Career progression Basic $5000 to $6800 + AWS + VB  Working location: North-East  Working Hours: Monday to Friday (8:30am to 5:30pm)  C / C++ (MUST Have)  Job Responsibilities:  Responsible for software prototyping, requirement analysis, design, development, test, system integration and site integration for developed applications Design, configuration, test, integration and maintenance of Automation & SCADA Systems and applications Provide technical, deployment and commissioning support to Project Teams and Customers Maintain and enhance software applications in both functionality  Provide software support via on-site troubleshooting, testing and tuning of applications, software, network, protocols and communication issues   Requirements:  Diploma / Degree in Electronics Engineering or Computer Science or equivalent Experience C/C++,  Candidates are encouraged to apply this position via Apply Now button with the following information in the resume  Work experiences and job responsibilities Current and Expected salary Reason for leaving Date of availability Education background  We regret that only shortlisted candidates will be contacted.  NG DIAUM YEE (R2198031) EA Recruitment Pte Ltd EA License No: 21C0492   ",EA RECRUITMENT PTE LTD
"Senior Software Engineer, Vision (Semicon MNC)","• Highest salary package in market • Promising career prospect • Conducive work environment Job Scopes: Responsible for software feature development and enhancement based on customer requirements Develop and enhance software utilities to improve equipment setup and easy operating abilities Software sustaining and continuous improves current machine software Review and update the user requirement documents and operation procedures Provide supporting and troubleshooting to on-site software issues Collaborate with mechanical, electrical, application team to implement new hardware feature or software feature to equipment Job Requirements: Degree or Diploma in computer/engineering 3-5 years of experience Skilled in C++ programming  Additional proficiency in Pytorch, Tensorflow, Darknet or experience in OpenCV or Cognex CVL will be plus Knowledge in image processing, pattern recognition or machine vision  Ability to work independently *** Sincere & Interested applicants, kindly forward your *Updated resume (word doc format) to allan@prestigeprofessions.com.sg and CC: Allan (R1223894) ***",Prestige Professions Pte Ltd
Senior Software Engineer (Golang / Backend) -J44329,"We are seeking a skilled Golang developer to join our team as a Software Engineer. In this role, you will be responsible for designing, developing, testing, deploying, and maintaining Golang applications that power our business operations. As part of our collaborative team, you will contribute to the full software development lifecycle, ensuring high-quality, scalable, and efficient solutions. Position: Senior Software Developer (Backend) Working Hours: Mon-Fri Working Location: Central Exciting opportunities to expand your Golang technical skills! To be involved in end to end software development projects!  Responsibilities: Design, develop, and maintain backend applications using Golang. Collaborate with team members including software engineers, business analysts, and architects to plan, design, and implement solutions. Implement and adhere to best practices throughout the software development process. Participate in code reviews and provide constructive feedback. Deploy applications to production environments and provide support as needed. Analyze and troubleshoot technical issues, ensuring timely resolution. Identify opportunities for process and application improvements and document recommendations. Adhere to high-quality development standards and project timelines. Perform other duties as assigned to support team objectives. Requirements: Mandatory: Minimum 5 years of experience in Golang development. Proficient in working with REST API and SOAP API. Experience with Postgres, MySQL, and Redis databases. Familiarity with cloud services such as AWS or Azure. Knowledge of microservices, Docker deployment, and gRPC. Proficiency in development tools like Visual Studio Code. Experience with CI/CD tools like Git, Jira, and Jenkins. Good to Have: Experience with cloud solution delivery or event-driven architecture. Knowledge of AI development tools like GitHub Copilot. Domain knowledge in trading and cryptocurrency. Understanding of Web3 technologies (blockchain, capital markets, financial payments).  If you are a proactive and experienced Golang developer with a passion for building robust applications in a collaborative environment, we encourage you to apply. OR Email your updated resume to: speytu(at)scientecpersonnel.com by quoting ""J44329"" in your email subject for faster processing.  All job applications will be processed with strict confidence and only shortlisted candidate will be contacted.  Elane Yap Theng Yu- R1989397 ScienTec Consulting Pte Ltd - 11C5781",ScienTec Consulting Pte Ltd
"Senior Software Engineer – Full Stack Developer, DxD Hub","We are seeking an experienced Senior Software Developer to spearhead new product development. In this role, you will play a crucial role in driving the successful execution of digital health products in collaboration with external partners. The ideal candidate should possess a strong background in frontend and backend development, extensive hands-on cloud experience, familiarity with regulatory standards (especially IEC 62304), and a successful track record in the full software development lifecycle. Responsibilities: ·       Full Stack Development: Lead the design, development, and maintenance of both frontend and backend components for software medical devices. ·       Cloud Expertise: Utilize hands-on experience in cloud technologies (AWS, Azure, GCP) to architect and deploy scalable and secure applications. ·       SDLC Leadership: Demonstrate expertise in multiple projects by managing the complete software development lifecycle from inception to deployment and maintenance. ·       Regulatory Compliance: Ensure software development processes adhere to relevant regulatory standards, especially IEC 62304 for medical device software lifecycle processes. ·       Software Testing: Lead or contribute significantly to software testing strategies, verification, and validation processes to ensure compliance and reliability. ·       Mobile App Development: Lead or contribute significantly to the development of mobile applications for iOS and Android platforms. ·       Collaboration and Mentorship: Collaborate effectively with external partners, startups, and industry collaborators while providing technical guidance and mentorship to team members. Requirements: ·       Bachelor’s degree in Computer Science, Engineering, or related field; Master’s degree preferred. ·       3+ years of hands-on experience in software development, specifically focusing on both frontend and backend technologies. ·       Proficiency in frontend frameworks (e.g., React, Angular, Flutter, Firebase) and backend frameworks (e.g., Node.js, Express, Django, Flask). Candidates with ·       Proficient in working with SQL and NoSQL databases such as MongoDB, Redis, Firestore, MySQL. ·       Strong hands-on experience with cloud technologies (AWS, Azure) and deploying applications in cloud environments. ·       Demonstrated experience in the full software development lifecycle across multiple projects. ·       Familiarity with regulatory standards in healthcare, particularly IEC 62304 for medical device software lifecycle processes. ·       Proven track record of leading or participating in projects from initiation to completion. ·       Mobile app development experience for both iOS and Android platforms. ·       Expertise in software testing, verification, and validation processes for ensuring compliance and reliability. ·       Experience in developing multitenant applications will be given preference. ·       Experience in working with FHIR, EHR systems, medical software, or digital health apps is a plus.","Agency for Science, Technology and Research (A*STAR)"
Junior / Senior Software Engineer C++,"Responsibilities Designing, developing, and maintaining software applications using C++ for manufacturing equipment  Developing and implementing software for automated equipment operating at high speeds.  Carrying out software design, coding, testing, debugging, and validation. Analysing and troubleshooting product failures to identify root causes.  Performing software maintenance on existing equipment. Requirements Diploma/bachelor’s degree of Automation, Mechatronics or Computer Science Minimum 3 years broad experience in SW design and implementation using C++.  Experience working with Linux operating systems.  Knowledge of the semiconductor backend industry Interested candidates who wish to apply for the advertised position, please click APPLY to submit your resume.  EA License: 13C6305 Reg. No.: R22108000 For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use, or disclose your personal information for purpose in connection with the services provided by us.",Talent Trader Group Pte Ltd
Senior Software Engineer (Data Solutions)," We are looking for a Senior Software Engineer to join our Data Architecture Solutions team. The role will involve executing the creation, maintenance & management of API microservices for data tracking requirements on Web, Mobile apps, and Smart TV platforms for various Digital and Data analytics solutions. Key Responsibilities: Build API microservices, data schemas and Extract-Transform-Load (ETL) processes to manage distributed meta-data repositories. Design workflows using Amazon Web Services (AWS) to produce robust and serverless code frameworks. Manage the metadata requirements of all the analytics tools across different platforms & properties within the organization. Design, develop and support reporting and analytics applications leveraging data integration tools. Work closely with Data Architects, Data Scientists and Product teams to enforce tracking requirements across different platforms.  Qualification  Degree holder in a technical discipline (Computer Science, IS/IT or related disciplines) Minimum 5 years of experience in software engineering. Hands-on experience in API development - building solutions on AWS (Lambda, API Gateway, Kinesis, RDS, Data Pipeline). Strong Proficiency in Python is a must. Handson work experience on AWS is a basic requirement. Good to have experience on JavaScript. Past exposure to Digital analytics solution will be a definite advantage such as – Adobe analytics & Google analytics. Strong team playing abilities and able to perform cross functional roles and assist team members as required.  ",Mediacorp Pte Ltd
Principal / Senior Software Engineer - Frontend," As a Senior / Principal software engineer, you’ll be joining a team of digital professionals which work across our digital projects including mobile, web and smart TVs.  Responsibilities You will be deeply involved in our company wide design and UX process from concept to outcome, high-level discussions to fine details You will play a role in the digital transformation, improving UX and frontend development standards and shaping up the company’s agile culture You will collaborate closely with different teams, stakeholders and vendors to streamline workflow, and facilitate and execute high quality experiences for multiple exciting projects; You will be expected to use your HTML/CSS/JavaScript skills to create a nice and clean UI pattern framework that Application Developers can re-use in the future You will be a quality assurance of elegant frontend code, including HTML, CSS, and JavaScript, and also to ensure consistency of the user interface across multiple platforms  Qualification  Bachelor’s Degree in Computer Science/related fields or equivalent Total development experience of at least 10 years Expert in JavaScript, REST, HTML, CSS, and MVC frameworks; experience in working with Less/Sass Familiar and hands-on experience with AngularJS, ReactJS, Vue.js, or other frontend frameworks Familiar with Node.js, PHP, Python or other server-side environments Experience in working on applications powered by Drupal CMS (traditional – fully coupled; headless – fully decoupled with a presentation layer running on NodeJS + VueJS; hybrid – progressively decoupled) Experience in PatternLab design and implementation, especially Twig-based pattern library Experience working with Agile methodologies, such as Scrum, Kanban, and familiar with GIT Good understanding of web UI design principles and an ability to squarely discuss UI issues with UX designers for optimal solutions Experience in managing large scale of projects involving vendors and in news and publishing domain will be a plus  ",Mediacorp Pte Ltd
Software Engineer (UI),"About D-SIMLAB  D-SIMLAB Technologies Pte Ltd is a leading provider of high-performance, simulation-based business analytics and process optimisation solutions, currently focusing on developing solutions for optimisation of Wafer Fabrication companies within the Semiconductor Manufacturing Industry. An international company with growing reputation and international blue chip customer base, D-SIMLAB is growing its team in China.  Job Description for Software Engineer (UI)  As a Software Engineer (UI) in D-SIMLAB, you will get exposure in both technical and soft skills development. The role does not limit to only software development, but also involves in providing professional consultation services to customers, with the following key responsibilities:  · Work together with a team of highly skilled Software Engineers and Data Scientists in software product deployment and delivery at world leading semiconductor manufacturers · Actively involved in product enhancement (in the area of visualization and algorithms) which improves the quality of D-SIMLAB products · Responsible for key software UI component development with efficient, clean and maintainable code · Understand and design the overall functionality of the products and projects · Collaborate with cross-functional teams to define, design and deliver new features  We are looking for candidates fulfil the following criteria:  . Bachelor/Master Degree specializes in Computer Science/Engineering · Minimum 3 years’ experience in software product development · Mastery of C#, .NET, CSS, HTML, Webservice, API, SQL · Strong understanding of front-end coding and development techniques · Ensure the best possible performance, responsiveness, and accuracy of applications · Prepare documentations for details system requirements · Ability to work in a fast-paced, dynamic environment and adapt to changing requirements · Enjoy working with experts with different cultural and technical backgrounds · Love to travel the world and work on challenging projects · Interest in career progression by strengthening technical and soft skills",D-SIMLAB TECHNOLOGIES PTE LTD
